mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
14.538,42.575,31.397,25,25,25,25,37.482,0.20274,0.16554,0.20274,12.402,12.402,12.402,12.402,0.20274,15.249,1
14.538,42.591,31.397,25,25,25,25,37.482,0.17095,0.13515,0.17095,12.407,12.407,12.407,12.407,0.17095,14.36,1
14.54,42.672,31.396,25,25,25,25,37.48,0.29865,0.23135,0.29865,12.437,12.437,12.437,12.437,0.29865,16.019,1
14.539,42.666,31.396,25,25,25,25,37.48,0.26815,0.20481,0.26815,12.434,12.434,12.434,12.434,0.26815,15.434,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
24.869,24.166,23.455,24.166,24.869,24.994,25,25,1.5464,1.309,0.14114,1.309,1.5464,1.5519,1.5519,1.5519,1.8584,1
25,24.949,23.45,24.949,25.131,28.979,25.131,25,3.0226,3.0209,0.14192,3.0209,3.0209,0.14192,3.0209,3.0226,5.0501,1
25,25,23.448,25,25,28.983,6.6037,25,10.905,10.905,0.14231,10.905,10.905,0.14231,0.14231,10.905,11.424,1
25,25,23.448,25,39.627,28.983,6.6034,25,11.945,11.945,0.14231,11.945,0.14231,0.14231,0.14231,11.945,15.597,1
12.309,25,23.448,25,39.627,28.983,6.6034,25,0.14231,12.098,0.14231,12.098,0.14231,0.14231,0.14231,12.098,19.56,1
12.309,45.203,23.448,25,39.627,28.983,6.6031,25,0.14232,0.14232,0.14232,13.784,0.14232,0.14232,0.14232,13.784,24.255,1
12.311,45.062,23.448,25,39.625,28.982,6.6059,25,0.2796,0.24215,0.2796,13.751,0.2796,0.2796,0.2796,13.751,24.385,1
12.311,45.165,23.448,25,39.624,28.982,6.6071,25,0.31858,0.26013,0.31858,13.776,0.31858,0.31858,0.31858,13.776,24.657,1
12.311,45.106,23.448,25,39.624,28.982,6.6068,25,0.30886,0.24419,0.30886,13.761,0.30886,0.30886,0.30886,13.761,24.631,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
